type,serial,LS
Soyuz-U,LC-1/5,Ba
Soyuz-U,P15000-096,Ba LC-1/5
Soyuz-U,Ts15000-113,Ba LC-1/5
Scout-A1,178C,Va SLC-5
Delta-2313,587/D-100,CC LC-17B
Scout-E1,191C,Va SLC-5
Scout-F1,194C,SM
Scout-F1,196C,Va SLC-5
Delta-3914,619/D-134,CC LC-17A
Delta-3914,D-178,CC LC-17A
Tsiklon-3,,Pl LC-32/1
Tsiklon-3,,Pl LC-32/2
Scout-G1,203C,Va SLC-5
Scout-G1,192C,Va SLC-5
Scout-G1,205C,Va SLC-5
Scout-G1,208C,Va SLC-5
Scout-G1,209C,Va SLC-5
Scout-G1,207C,WI LA-3A
Scout-G1,199C,Va SLC-5
Scout-G1,204C,Va SLC-5
Scout-G1,206C,SM
Scout-G1,211C,Va SLC-5
Scout-G1,213C,Va SLC-5
Scout-G1,214C,Va SLC-5
Scout-G1,212C,Va SLC-5
Scout-G1,216C,Va SLC-5
Scout-G1,215C,Va SLC-5
Scout-G1,210C,Va SLC-5
Scout-G1,217C,Va SLC-5
Scout-G1,218C,Va SLC-5
Delta-3913,642/D-155,Va SLC-2W
CZ-3,3-Y1,Xi LC-3
CZ-3,3-Y9,Xi LC-3
CZ-3,3-Y14,Xi LC-3
CZ-2E [PKM],2E-Y1,Xi LC-2
CZ-2E [Star-63F],2E-Y4,Xi LC-2
CZ-2E [Star-63F],2E-Y6,Xi LC-2
Delta-7925,D-228,CC LC-17B
Delta-7925,D-241,CC LC-17A
H-2,H-2,Ta YLP-1
H-2,H-2,Ta YLP-1
H-2,H-2,Ta YLP-1
H-2,4/4D,Ta YLP-1
H-2,H-2,
H-2 (2 × SSB),5/4D,Ta YLP-1
CZ-3B,3B-Y1,Xi LC-2
CZ-3B,3B-Y8,Xi LC-2
Ariane-5G,,Ko ELA-3
Ariane-5G,,Ko ELA-3
Ariane-5G,V-119/504,Ko ELA-3
Ariane-5G,V-128/505,Ko ELA-3
Ariane-5G,V-130/506,Ko ELA-3
Ariane-5G,V-135/507,Ko ELA-3
Ariane-5G,V-138/508,Ko ELA-3
Ariane-5G,V-140/509,Ko ELA-3
Ariane-5G,V-145/511,Ko ELA-3
Ariane-5G,V-153/512,Ko ELA-3
Ariane-5G,V-155/513,Ko ELA-3
Ariane-5G,V-160/514,Ko ELA-3
Ariane-5G,V-161/515,Ko ELA-3
Ariane-5G,V-162/516,Ko ELA-3
VLS-1,VLS-1,Al VLS
VLS-1,VLS-1,Al VLS
Delta-8930,D-259,CC LC-17B
Soyuz-U Ikar,S15000-058,Ba LC-1/5
Soyuz-U Ikar,S15000-059,Ba LC-1/5
Soyuz-U Ikar,S15000-060,Ba LC-1/5
Soyuz-U Ikar,S15000-061,Ba LC-1/5
Soyuz-U Ikar,M15000-062,Ba LC-1/5
Soyuz-U Ikar,M15000-063,Ba LC-1/5
CZ-4B,4B-Y10,TY LC-9
Proton-K Briz-M,389-01,Ba LC-81/24
Proton-K Briz-M,392-01,Ba LC-81/24
Proton-K Briz-M,410-01,Ba LC-200/39
Proton-K Briz-M,410-03,Ba LC-81/24
H-2S,H-2S,
Taurus-2110,T-6,Va 576E
Soyuz-U Fregat,A15000-079,Ba LC-31/6
Soyuz-U Fregat,A15000-068,Ba LC-31/6
Soyuz-U Fregat,A15000-069,Ba LC-31/6
Soyuz-U Fregat,A15000-070,Ba LC-31/6
Proton-M Briz-M (1),535-01,Ba LC-81/24
Proton-M Briz-M (1),535-02,Ba LC-81/24
H-2A-202,H-2A-202,Ta YLP-1
H-2A-202,H-2A-202,Ta YLP-1
H-2A-202,H-2A-202,Ta YLP-1
H-2A-202,H-2A-202,Ta YLP-1
H-2A-202,H-2A-202,Ta YLP-1
H-2A-202,H-2A-202,Ta YLP-1
H-2A-202,H-2A-202,Ta YLP-1
H-2A-202,H-2A-202,Ta YLP-1
H-2A-202,H-2A-202,Ta YLP-1
H-2A-202,4/4D-LC,Ta YLP-1
H-2A-202,4/4D-LC,Ta YLP-1
H-2A-202,H-2A-202,Ta YLP-1
H-2A-202,H-2A-202,Ta YLP-1
H-2A-202,H-2A-202,Ta YLP-1
H-2A-202,H-2A-202,Ta YLP-1
H-2A-202,H-2A-202,Ta YLP-1
H-2A-202,H-2A-202,Ta YLP-1
H-2A-202,H-2A-202,Ta YLP-1
H-2A-202,H-2A-202,Ta YLP-1
H-2A-202,H-2A-202,Ta YLP-1
H-2A-202,H-2A-202,Ta YLP-1
H-2A-202,H-2A-202,Ta YLP-1
H-2A-202,H-2A-202,Ta YLP-1
H-2A-202,H-2A-202,Ta YLP-1
H-2A-202,H-2A-202,Ta YLP-1
H-2A-202,4/4D-LC,Ta YLP-1
H-2A-202,H-2A-202,Ta YLP-1
H-2A-202,H-2A-202,Ta YLP-1
H-2A-202,H-2A-202,Ta YLP-1
H-2A-202,H-2A-202,Ta YLP-1
H-2A-202,H-2A-202,Ta YLP-1
H-2A-2024,4/4D-LC,Ta YLP-1
H-2A-2024,4/4D-LC,Ta YLP-1
H-2A-2024,4/4D-LC,Ta YLP-1
H-2A-2024,4/4D-LC,
H-2A-2024,H-2A-2024,Ta YLP-1
H-2A-2024,4/4D-LC,Ta YLP-1
H-2A-2024,H-2A-2024,Ta YLP-1
Atlas-5(401),AV-001,CC SLC-41
Atlas-5(401),AV-002,CC SLC-41
Atlas-5(401),AV-007,CC SLC-41
Atlas-5(401),AV-013,CC SLC-41
Atlas-5(401),AV-009,CC SLC-41
Atlas-5(401),AV-015,CC SLC-41
Atlas-5(401),AV-020,CC SLC-41
Atlas-5(401),AV-018,CC SLC-41
Atlas-5(401),AV-017,Va SLC-3E
Atlas-5(401),AV-021,CC SLC-41
Atlas-5(401),AV-022,CC SLC-41
Atlas-5(401),AV-023,CC SLC-41
Atlas-5(401),AV-032,CC SLC-41
Atlas-5(401),AV-033,Va SLC-3E
Atlas-5(401),AV-036,CC SLC-41
Atlas-5(401),AV-035,Va SLC-3E
Atlas-5(401),AV-037,CC SLC-41
Atlas-5(401),AV-039,CC SLC-41
Atlas-5(401),AV-038,CC SLC-41
Atlas-5(401),AV-043,CC SLC-41
Atlas-5(401),AV-044,Va SLC-3E
Atlas-5(401),AV-046,CC SLC-41
Atlas-5(401),AV-048,CC SLC-41
Atlas-5(401),AV-047,Va SLC-3E
Atlas-5(401),AV-049,CC SLC-41
Atlas-5(401),AV-050,CC SLC-41
Atlas-5(401),AV-055,CC SLC-41
Atlas-5(401),AV-058,Va SLC-3E
Atlas-5(401),AV-060,CC SLC-41
Atlas-5(401),AV-061,CC SLC-41
Atlas-5(401),AV-057,CC SLC-41
Atlas-5(401),AV-064,CC SLC-41
Atlas-5(401),AV-062,Va SLC-3E
Atlas-5(401),AV-066,CC SLC-41
Atlas-5(401),AV-068,Va SLC-3E
Atlas-5(401),AV-070,CC SLC-41
Atlas-5(401),AV-074,CC SLC-41
Atlas-5(401),AV-078,Va SLC-3E
Atlas-5(401),AV-092,Va SLC-3E
Atlas-5(401),AV-096,CC SLC-41
Atlas-5(401),AV-098,Va SLC-3E
Ariane-5ECA,V-164/521,Ko ELA-3
Ariane-5ECA,V-167/522,Ko ELA-3
Ariane-5ECA,V-170/527,Ko ELA-3
Ariane-5ECA,V-171/529,Ko ELA-3
Ariane-5ECA,V-172/531,Ko ELA-3
Ariane-5ECA,V-173/533,Ko ELA-3
Ariane-5ECA,V-174/534,Ko ELA-3
Ariane-5ECA,V-175/535,Ko ELA-3
Ariane-5ECA,V-176/536,Ko ELA-3
Ariane-5ECA,V-177/537,Ko ELA-3
Ariane-5ECA,V-179/538,Ko ELA-3
Ariane-5ECA,V-182/539,Ko ELA-3
Ariane-5ECA,V-183/540,Ko ELA-3
Ariane-5ECA,V-184/541,Ko ELA-3
Ariane-5ECA,V-185/542,Ko ELA-3
Ariane-5ECA,V-186/543,Ko ELA-3
Ariane-5ECA,V-187/545,Ko ELA-3
Ariane-5ECA,V-188/546,Ko ELA-3
Ariane-5ECA,V-189/547,Ko ELA-3
Ariane-5ECA,V-190/548,Ko ELA-3
Ariane-5ECA,V-191/549,Ko ELA-3
Ariane-5ECA,V-192/550,Ko ELA-3
Ariane-5ECA,V-194/551,Ko ELA-3
Ariane-5ECA,V-195/552,Ko ELA-3
Ariane-5ECA,V-196/554,Ko ELA-3
Ariane-5ECA,V-197/555,Ko ELA-3
Ariane-5ECA,V-198/556,Ko ELA-3
Ariane-5ECA,V-199/557,Ko ELA-3
Ariane-5ECA,VA-201/558,Ko ELA-3
Ariane-5ECA,VA-202/559,Ko ELA-3
Ariane-5ECA,VA-203/560,Ko ELA-3
Ariane-5ECA,VA-204/561,Ko ELA-3
Ariane-5ECA,VA-206/562,Ko ELA-3
Ariane-5ECA,VA-207/563,Ko ELA-3
