type,serial,LS
 Vostok-2M,76053-342,Pl LC-16/2
 Vostok-2M,76053-343,Pl LC-16/2
 Vostok-2M,77049-376,Ba LC-31/6
 Vostok-2M,77025-325,Pl LC-16/2
 Vostok-2M,76053-344,Ba LC-31/6
 Vostok-2M,L15000-079,Ba LC-31/6
 Vostok-2M,I15000-078,Ba LC-31/6
 Vostok-2M,I15000-079,Ba LC-31/6
Titan-3A,3A-1,CC LC-20
Titan-3A,3A-3,CC LC-20
Titan-3A,3A-4,CC LC-20
 Delta-C,387/D-21,CC LC-17B
 Delta-C,392/D-26,CC LC-17A
 Delta-C,393/D-27,CC LC-17A
 Delta-C,374/D-28,CC LC-17A
 Delta-C,411/D-29,CC LC-17B
 Delta-C,441/D-31,CC LC-17B
 Delta-C,415/D-32,CC LC-17B
 Delta-C,445/D-36,CC LC-17A
 Delta-C,431/D-46,CC LC-17A
 Delta-C,490/D-53,CC LC-17B
 Thor-LV2D Burner-1(1),224,Va 4300-B6
 Thor-LV2D Burner-1(1),306,Va 4300-B6
 Thor-LV2D Burner-1(2),282,Va 4300-B6
 Thor-LV2D Burner-1(2),213,Va 4300-B6
 Thor-LV2D Burner-1(2),251,Va 4300-B6
 Thor-LV2D Burner-1(2),147,Va 4300-B6
Titan-3C,3C-7,CC LC-40
 Titan-3C,3C-11,CC LC-41
Titan-3C,3C-9,CC LC-40
 Titan-3C,3C-13,CC LC-41
 Titan-3C,3C-10,CC LC-41
 Titan-3C,3C-14,CC LC-41
 Titan-3C,3C-16,CC LC-41
Titan-3C,3C-5,CC LC-41
 Titan-3C,3C-17,CC LC-41
 Titan-3C,3C-15,CC LC-41
 Titan-3C,3C-18,CC LC-40
 Proton,207-01,Ba LC-81/23
 Proton,209,Ba LC-81/23
 Proton,211,Ba LC-81/23
 Proton,212,Ba LC-81/23
 Atlas-LV3C Centaur-D,AC- 10,CC LC-36A
 Atlas-LV3C Centaur-D,AC- 12,CC LC-36B
 Atlas-LV3C Centaur-D,AC- 11,CC LC-36A
 Molniya-M (Blok-L),U15000-054,Ba LC-1/5
 Molniya-M (Blok-L),U15000-049,Ba LC-31/6
 Molniya-M (Blok-L),N15000-051,Ba LC-31/6
 Molniya-M (Blok-L),N15000-052,
 Molniya-M (Blok-L),N15000-053,Ba LC-31/6
 Molniya-M (Blok-L),N15000-055,Ba LC-1/5
 Molniya-M (Blok-L),N15001-058,Ba LC-1/5
 Molniya-M (Blok-L),Ya15000-057,Ba LC-1/5
 Molniya-M (Blok-L),Ya15000-058,Ba LC-1/5
Kosmos-2,,KY LC-86/4
Kosmos-2,,Pl LC-133/1
Kosmos-2,,Pl LC-133/1
Kosmos-2,,Pl LC-133/1
Kosmos-2,,KY LC-86/4
Kosmos-2,,Pl LC-133/1
Kosmos-2,,KY LC-86/4
Kosmos-2,,Pl LC-133/1
Kosmos-2,113,Pl LC-133/1
 Delta-E,457/D-34,CC LC-17A
 Delta-E,460/D-35,CC LC-17A
 Delta-E,461/D-37,CC LC-17B
 Delta-E,463/D-41,Va SLC-2E
 Delta-E,472/D-45,Va SLC-2E
 Delta-E,484/D-48,Va SLC-2E
 Diamant-A,,Ha B
Atlas-SLV3B Agena-D,5001,CC LC-12
 Delta-C1,436/D-38,CC LC-17B
 Delta-C1,487/D-64,CC LC-17B
Atlas-SLV3,5304,CC LC-14
Atlas-SLV3,7001,Va SLC-3E
Atlas-SLV3,7002,Va SLC-3E
Atlas-SLV3,7003,Va SLC-3E
Atlas-SLV3 Agena-B,5601,CC LC-12
 Delta-E1,467/D-39,CC LC-17A
 Delta-E1,462/D-40,CC LC-17A
 Delta-E1,464/D-42,CC LC-17B
 Delta-E1,468/D-44,CC LC-17B
 Delta-E1,470/D-47,CC LC-17B
 Delta-E1,486/D-49,Va SLC-2E
 Delta-E1,488/D-50,CC LC-17B
 Delta-E1,442/D-52,CC LC-17B
 Delta-E1,480/D-54,Va SLC-2E
 Delta-E1,489/D-55,CC LC-17B
 Delta-E1,454/D-56,Va SLC-2E
 Delta-E1,479/D-60,CC LC-17B
 Delta-E1,481/D-61,CC LC-17B
 Delta-E1,485/D-65,Va SLC-2E
 Delta-E1,483/D-67,CC LC-17B
 Delta-E1,482/D-69,Va SLC-2W
 Delta-E1,491/D-84,Va SLC-2E
Saturn-1B,SA-201,CC LC-34
Saturn-1B,SA-203,CC LC-37B
Saturn-1B,SA-202,CC LC-34
Saturn-1B,SA-204,CC LC-37B
Saturn-1B,SA-205,CC LC-34
Saturn-1B,SA-206,CCK LC-39B
Saturn-1B,SA-207,CCK LC-39B
Saturn-1B,SA-208,CCK LC-39B
Saturn-1B,SA-210,CCK LC-39B
Titan-3B Agena-D,3B-1,Va SLC-4W
Titan-3B Agena-D,3B-2,Va SLC-4W
Titan-3B Agena-D,3B-3,Va SLC-4W
Titan-3B Agena-D,3B-4,Va SLC-4W
Titan-3B Agena-D,3B-8,Va SLC-4W
Titan-3B Agena-D,3B-9,Va SLC-4W
 Titan-3B Agena-D,3B-10,Va SLC-4W
 Titan-3B Agena-D,3B-11,Va SLC-4W
 Titan-3B Agena-D,3B-12,Va SLC-4W
 Titan-3B Agena-D,3B-13,Va SLC-4W
 Titan-3B Agena-D,3B-14,Va SLC-4W
 Titan-3B Agena-D,3B-15,Va SLC-4W
 Titan-3B Agena-D,3B-16,Va SLC-4W
 Titan-3B Agena-D,3B-17,Va SLC-4W
 Titan-3B Agena-D,3B-18,Va SLC-4W
 Titan-3B Agena-D,3B-19,Va SLC-4W
Titan-3B Agena-D,3B-7,Va SLC-4W
 Titan-3B Agena-D,3B-21,Va SLC-4W
 Titan-3B Agena-D,3B-22,Va SLC-4W
Thorad-SLV2G Agena-D,507,Va SLC-1W
Thorad-SLV2G Agena-D,508,Va SLC-1E
Thorad-SLV2G Agena-D,509,Va SLC-1W
Thorad-SLV2G Agena-D,510,Va SLC-1E
Thorad-SLV2G Agena-D,512,Va SLC-1W
Thorad-SLV2G Agena-D,513,Va SLC-1E
Thorad-SLV2G Agena-D,514,Va SLC-1W
Thorad-SLV2G Agena-D,516,Va SLC-1E
Thorad-SLV2G Agena-D,518,Va SLC-1E
Thorad-SLV2G Agena-D,511,Va SLC-3W
Thorad-SLV2G Agena-D,520,Va SLC-2E
Thorad-SLV2G Agena-D,517,Va SLC-1E
Thorad-SLV2G Agena-D,522,Va SLC-3W
Thorad-SLV2G Agena-D,524,Va SLC-1E
Thorad-SLV2G Agena-D,521,Va SLC-1W
Thorad-SLV2G Agena-D,515,Va SLC-3W
Thorad-SLV2G Agena-D,527,Va SLC-3W
Thorad-SLV2G Agena-D,519,Va SLC-3W
Thorad-SLV2G Agena-D,541,Va SLC-3W
Thorad-SLV2G Agena-D,543,Va SLC-2E
Thorad-SLV2G Agena-D,544,Va SLC-3W
Thorad-SLV2G Agena-D,523,Va SLC-1W
Thorad-SLV2G Agena-D,531,Va SLC-3W
Thorad-SLV2G Agena-D,525,Va SLC-1W
Thorad-SLV2G Agena-D,534,Va SLC-2E
Thorad-SLV2G Agena-D,553,Va SLC-2E
Thorad-SLV2G Agena-D,535,Va SLC-1W
Thorad-SLV2G Agena-D,570,Va SLC-1W
Thorad-SLV2G Agena-D,568,Va SLC-1W
 Thor-LV2F Burner-2,167,Va 4300-B6
 Thor-LV2F Burner-2,169,Va 4300-B6
 Thor-LV2F Burner-2,266,Va LE-6
 Thor-LV2F Burner-2,268,Va LE-6
 Thor-LV2F Burner-2,277,Va SLC-10W
 Thor-LV2F Burner-2,173,Va SLC-10W
 Thor-LV2F Burner-2,279,Va SLC-10W
 Thor-LV2F Burner-2,287,Va SLC-10W
 Thor-LV2F Burner-2,288,Va SLC-10W
 Thor-LV2F Burner-2,249,Va SLC-10W
 Thor-LV2F Burner-2,210,Va SLC-10W
R-36-O,R-36-O,Ba LC-67/21
R-36-O,R-36-O,Ba LC-67/22
R-36-O,R-36-O,
R-36-O,R-36-O,
 Soyuz,U15000-02,Ba LC-31/6
 Soyuz,U15000-03,Ba LC-1/5
 Soyuz,U15000-04,Ba LC-1/5
 Soyuz,U15000-05,Ba LC-31/6
 Soyuz,N15000-07,Ba LC-1/5
 Soyuz,Ya15000-09,Ba LC-31/6
 Soyuz,U15000-06,Ba LC-1/5
 Soyuz,V15000-13,Ba LC-31/6
 Soyuz,Ya15000-008,Ba LC-1/5
 Soyuz,Ya15000-010,Ba LC-31/6
 Soyuz,Ya15000-012,Ba LC-31/6
 Soyuz,Ya15000-011,Ba LC-1/5
 Soyuz,V15000-14,Ba LC-31/6
 Soyuz,Yu15000-19,Ba LC-1/5
 Soyuz,Yu15000-18,Ba LC-31/6
 Soyuz,Yu15000-021S,Ba LC-31/6
 Soyuz,Kh15000-025,Ba LC-1/5
 Soyuz,Kh15000-024,Ba LC-1/5
 Soyuz,Yu15000-020,Ba LC-1/5
 Soyuz,S15000-027,Ba LC-1/5
 Soyuz,S15000-026,Ba LC-1/5
 Soyuz,S15000-029,Ba LC-1/5
 Soyuz,S15000-028,Ba LC-1/5
 Soyuz,A15000-032,Ba LC-1/5
 Soyuz,S15000-031,Ba LC-1/5
 Soyuz,S15000-030,Ba LC-1/5
 Soyuz,Kh15000-022,Ba LC-1/5
 Soyuz,Kh15000-023,Ba LC-1/5
 Soyuz,F15000-033,Ba LC-1/5
 Soyuz,F15000-034,Ba LC-1/5
 Soyuz,E15000-035,Ba LC-1/5
 Delta-G,471/D-43,CC LC-17A
 Delta-G,475/D-51,CC LC-17B
 Proton-K Blok-D,227-01,Ba LC-81/23
 Proton-K Blok-D,228-01,Ba LC-81/23
 Proton-K Blok-D,229-01,Ba LC-81/23
 Proton-K Blok-D,230-01,Ba LC-81/24
 Proton-K Blok-D,231-01,Ba LC-81/23
 Proton-K Blok-D,232-01,Ba LC-81/24
 Proton-K Blok-D,234-01,Ba LC-81/23
 Proton-K Blok-D,235-01,Ba LC-81/23
 Proton-K Blok-D,237-01,Ba LC-81/23
 Proton-K Blok-D,239-01,Ba LC-81/24
 Proton-K Blok-D,240-01,Ba LC-81/23
 Proton-K Blok-D,233-01,Ba LC-81/24
 Proton-K Blok-D,238-01,Ba LC-81/24
 Proton-K Blok-D,242-01,Ba LC-81/24
 Proton-K Blok-D,243-01,Ba LC-81/23
 Proton-K Blok-D,244-01,Ba LC-81/24
 Proton-K Blok-D,241-01,Ba LC-81/24
 Proton-K Blok-D,245-01,Ba LC-81/23
 Proton-K Blok-D,247-01,
 Proton-K Blok-D,248-01,Ba LC-81/23
 Proton-K Blok-D,250-01,Ba LC-81/23
 Proton-K Blok-D,251-01,Ba LC-81/23
 Proton-K Blok-D,252-01,Ba LC-81/23
 Proton-K Blok-D,253-01,Ba LC-81/23
 Proton-K Blok-D,255-01,Ba LC-81/24
 Proton-K Blok-D,249-01,Ba LC-81/23
 Proton-K Blok-D,256-01,Ba LC-81/24
 Proton-K Blok-D,257-01,Ba LC-81/24
 Proton-K Blok-D,258-01,Ba LC-81/24
 Proton-K Blok-D,259-01,Ba LC-81/23
 Proton-K Blok-D,261-01,Ba LC-81/23
 Proton-K Blok-D,262-01,Ba LC-81/24
 Proton-K Blok-D,281-01,Ba LC-81/23
 Proton-K Blok-D,281-02,Ba LC-81/24
 Proton-K Blok-D,282-02,Ba LC-81/24
 Proton-K Blok-D,285-01,Ba LC-81/24
 Proton-K Blok-D,286-01,Ba LC-81/24
 Proton-K Blok-D,285-02,Ba LC-81/24
 Proton-K Blok-D,287-02,Ba LC-81/23
 Proton-K Blok-D,288-02,Ba LC-81/23
Kosmos 1269,236,Pl LC-132/1
 Molniya-M (Blok-VL),Ya15000-071,Ba LC-1/5
 Molniya-M (Blok-VL),Ya15000-070,Ba LC-1/5
 Molniya-M (Blok-VL),V15000-072,Ba LC-1/5
 Molniya-M (Blok-VL),V15000-073,Ba LC-1/5
 Thor-LV2F Burner-2 Star-13A,171,Va LE-6
 Atlas-SLV3C Centaur-D,AC- 13,CC LC-36B
 Atlas-SLV3C Centaur-D,AC- 14,CC LC-36B
 Atlas-SLV3C Centaur-D,AC- 15,CC LC-36A
 Atlas-SLV3C Centaur-D,AC- 16,CC LC-36B
 Atlas-SLV3C Centaur-D,AC- 20,CC LC-36B
 Atlas-SLV3C Centaur-D,AC- 19,CC LC-36A
 Atlas-SLV3C Centaur-D,AC- 18,CC LC-36A
 Atlas-SLV3C Centaur-D,AC- 25,CC LC-36A
 Atlas-SLV3C Centaur-D,AC- 23,CC LC-36B
 Atlas-SLV3C Centaur-D,AC- 26,CC LC-36A
 Atlas-SLV3C Centaur-D,AC- 28,CC LC-36B
 Atlas-SLV3C Centaur-D,AC- 29,CC LC-36B
 Atlas-SLV3C Centaur-D,AC- 22,CC LC-36B
Tsiklon-2A,,Ba LC-90/20
Tsiklon-2A,,Ba LC-90/19
Saturn-5,SA-501,CCK LC-39A
Saturn-5,SA-502,CCK LC-39A
Saturn-5,SA-503,CCK LC-39A
Saturn-5,SA-504,CCK LC-39A
Saturn-5,SA-505,CCK LC-39B
Saturn-5,SA-506,CCK LC-39A
Saturn-5,SA-507,CCK LC-39A
Saturn-5,SA-508,CCK LC-39A
Saturn-5,SA-509,CCK LC-39A
Saturn-5,SA-510,CCK LC-39A
Saturn-5,SA-511,CCK LC-39A
Saturn-5,SA-512,CCK LC-39A
 Redstone Sparta,2029/SV-10,Wo LA-8
Atlas-SLV3A Agena-D,5602A,CC LC-13
Atlas-SLV3A Agena-D,5501A,CC LC-13
Atlas-SLV3A Agena-D,5502A,CC LC-13
Atlas-SLV3A Agena-D,5201A,CC LC-13
Atlas-SLV3A Agena-D,5203A,CC LC-13
Atlas-SLV3A Agena-D,5503A,CC LC-13
Atlas-SLV3A Agena-D,5204A,CC LC-13
Atlas-SLV3A Agena-D,5202A,CC LC-13
Atlas-SLV3A Agena-D,5506A,CC LC-13
Atlas-SLV3A Agena-D,5507A,CC LC-13
Atlas-SLV3A Agena-D,5504A,CC LC-13
Atlas-SLV3A Agena-D,5505A,CC LC-13
Atlas-F OV1 (2×),107F,Va ABRES-A2
Atlas-F OV1 (2×),,Va ABRES-A2
Atlas-F OV1 (3×),104F,Va ABRES-A2
Atlas-F OV1 (2×),,Va BMRS-A2
 Molniya-M (Blok-ML),Ya15000-082,Ba LC-1/5
 Molniya-M (Blok-ML),Ya15000-084,Ba LC-1/5
 Molniya-M (Blok-ML),V15000-086 ?,Ba LC-1/5
 Molniya-M (Blok-ML),Ya15000-039 ?,Ba LC-1/5
 Molniya-M (Blok-ML),V15000-088,Ba LC-1/5
 Molniya-M (Blok-ML),V15000-089,Ba LC-1/5
 Molniya-M (Blok-ML),V15000-087,Pl LC-43/4
 Molniya-M (Blok-ML),Yu15000-089,Pl LC-43/4
 Molniya-M (Blok-ML),Yu15000-090,Pl LC-43/4
 Molniya-M (Blok-ML),Kh15000-095,Pl LC-43/4
 Molniya-M (Blok-ML),Ya15000-078 ?,Ba LC-1/5
 Molniya-M (Blok-ML),Kh15000-096,Pl LC-43/4
 Molniya-M (Blok-ML),Yu15000-092,Pl LC-43/4
 Molniya-M (Blok-ML),7705711-497,Pl LC-43/4
 Molniya-M (Blok-ML),Yu15000-093,Pl LC-43/4
 Molniya-M (Blok-ML),Yu15000-091,Pl LC-43/4
 Molniya-M (Blok-ML),S15000-106,Pl LC-41/1
 Molniya-M (Blok-ML),7705711-498,Pl LC-41/1
 Molniya-M (Blok-ML),7801421-512,Ba LC-1/5
 Molniya-M (Blok-ML),76043-537,Pl LC-41/1
 Molniya-M (Blok-ML),7801421-514,Ba LC-1/5
 Molniya-M (Blok-ML),M15000-115,Pl LC-41/1
 Molniya-M (Blok-ML),76043-533,Pl LC-41/1
 Molniya-M (Blok-ML),7705711-499,Pl LC-41/1
 Molniya-M (Blok-ML),77019-549,Pl LC-41/1
 Molniya-M (Blok-ML),78014-215,Ba LC-1/5
 Molniya-M (Blok-ML),77019-550,Pl LC-41/1
 Molniya-M (Blok-ML),76029-555,Pl LC-41/1
 Molniya-M (Blok-ML),7702421-516,Pl LC-43/4
 Molniya-M (Blok-ML),76029-554,Pl LC-41/1
 Molniya-M (Blok-ML),78033-529,Pl LC-43/4
 Molniya-M (Blok-ML),78033-528,Pl LC-41/1
 Molniya-M (Blok-ML),78031-572,Pl LC-41/1
 Molniya-M (Blok-ML),78033-530,Pl LC-41/1
 Molniya-M (Blok-ML),76043-532,Pl LC-41/1
 Molniya-M (Blok-ML),76043-531,Pl LC-41/1
 Molniya-M (Blok-ML),M15000-064,Pl LC-41/1
 Molniya-M (Blok-ML),76041-579,Pl LC-41/1
 Molniya-M (Blok-ML),78019-552,Pl LC-41/1
 Molniya-M (Blok-ML),78031-571,Pl LC-41/1
 Molniya-M (Blok-ML),76029-560,Pl LC-41/1
 Molniya-M (Blok-ML),77016-588,Pl LC-43/3
 Molniya-M (Blok-ML),78031-567,Pl LC-43/3
 Molniya-M (Blok-ML),F15000-142,Pl LC-43/3
 Molniya-M (Blok-ML),76029-559,Ba LC-1/5
 Molniya-M (Blok-ML),78031-575,Pl LC-41/1
 Molniya-M (Blok-ML),76029-558,Ba LC-1/5
 Molniya-M (Blok-ML),77016-598,Pl LC-41/1
 Molniya-M (Blok-ML),76029-556,Ba LC-1/5
 Molniya-M (Blok-ML),78026-597,Pl LC-43/4
 Molniya-M (Blok-ML),76042-602,Pl LC-43/4
 Molniya-M (Blok-ML),76041-577,Pl LC-43/4
 Molniya-M (Blok-ML),78026-599,Pl LC-43/4
 Molniya-M (Blok-ML),76026-604,Pl LC-43/4
 Molniya-M (Blok-ML),76041-580,Ba LC-1/5
 Molniya-M (Blok-ML),77016-593,Pl LC-43/3
 Molniya-M (Blok-ML),77052-606,Pl LC-43/3
 Molniya-M (Blok-ML),78026-596,Pl LC-43/3
 Molniya-M (Blok-ML),76041-581,Pl LC-43/3
 Molniya-M (Blok-ML),78026-595,Pl LC-43/3
 Molniya-M (Blok-ML),76038-508,Pl LC-43/4
 Molniya-M (Blok-ML),78018-501,Pl LC-43/4
 Molniya-M (Blok-ML),76038-511,Pl LC-43/3
 Molniya-M (Blok-ML),78018-504,Pl LC-43/4
 Molniya-M (Blok-ML),76042-605,Pl LC-41/1
 Molniya-M (Blok-ML),76038-509,Pl LC-43/4
 Molniya-M (Blok-ML),78055-534,Pl LC-43/3
 Molniya-M (Blok-ML),78055-528,Pl LC-41/1
 Molniya-M (Blok-ML),78018-505,Pl LC-41/1
 Molniya-M (Blok-ML),76047-550,Pl LC-41/1
 Molniya-M (Blok-ML),76047-551,Pl LC-43/3
 Molniya-M (Blok-ML),77025-524,Pl LC-41/1
 Molniya-M (Blok-ML),77023-617,Pl LC-41/1
 Molniya-M (Blok-ML),76038-510,Pl LC-43/3
 Molniya-M (Blok-ML),77025-525,Pl LC-41/1
 Molniya-M (Blok-ML),76053-622,Pl LC-41/1
 Molniya-M (Blok-ML),76038-607,Pl LC-43/3
 Molniya-M (Blok-ML),78055-530,Pl LC-41/1
 Molniya-M (Blok-ML),78026-601,Pl LC-41/1
 Molniya-M (Blok-ML),78039-640,Ba LC-1/5
 Molniya-M (Blok-ML),77023-620,Pl LC-41/1
 Molniya-M (Blok-ML),78039-638,Pl LC-41/1
 Molniya-M (Blok-ML),78017-556,Pl LC-43/3
 Molniya-M (Blok-ML),76054-652,Ba LC-1/5
 Molniya-M (Blok-ML),76047-547,Pl LC-41/1
 Molniya-M (Blok-ML),77024-656,Ba LC-1/5
 Molniya-M (Blok-ML),78039-641,Pl LC-41/1
 Molniya-M (Blok-ML),76053-625,Pl LC-41/1
 Molniya-M (Blok-ML),77024-654,Ba LC-1/5
 Molniya-M (Blok-ML),78012-660,Ba LC-1/5
 Molniya-M (Blok-ML),76054-650,Pl LC-41/1
 Molniya-M (Blok-ML),77023-619,Pl LC-41/1
 Molniya-M (Blok-ML),76054-648,Pl LC-41/1
 Molniya-M (Blok-ML),78039-637,Pl LC-41/1
 Molniya-M (Blok-ML),76032-666 ?,Pl LC-41/1
 Molniya-M (Blok-ML),78012-661,Pl LC-43/4
 Molniya-M (Blok-ML),76032-672,Pl LC-41/1
 Molniya-M (Blok-ML),76032-665,Pl LC-43/4
 Molniya-M (Blok-ML),78056-676,Pl LC-43/4
 Molniya-M (Blok-ML),77024-658,Pl LC-43/4
 Molniya-M (Blok-ML),78056-679,Pl LC-41/1
 Molniya-M (Blok-ML),76021-685,Pl LC-43/4
 Molniya-M (Blok-ML),78012-663,Ba LC-1/5
 Molniya-M (Blok-ML),76021-686,Pl LC-43/4
 Molniya-M (Blok-ML),78056-680,Pl LC-43/4
 Molniya-M (Blok-ML),77046-673,Pl LC-41/1
 Molniya-M (Blok-ML),76054-653,Pl LC-41/1
 Molniya-M (Blok-ML),76021-688,Pl LC-43/4
 Molniya-M (Blok-ML),76048-505,Pl LC-43/4
 Molniya-M (Blok-ML),77049-645,Pl LC-43/4
 Molniya-M (Blok-ML),76048-508,Pl LC-41/1
 Molniya-M (Blok-ML),78028-512,Pl LC-43/3
 Molniya-M (Blok-ML),77046-671,Pl LC-41/1
 Molniya-M (Blok-ML),78056-678,Ba LC-1/5
 Molniya-M (Blok-ML),78028-513,Pl LC-43/4
 Molniya-M (Blok-ML),77011-692,Pl LC-43/4
 Molniya-M (Blok-ML),76035-532,Pl LC-41/1
 Molniya-M (Blok-ML),76048-510,Pl LC-41/1
 Molniya-M (Blok-ML),77011-690,Pl LC-43/3
 Molniya-M (Blok-ML),78039-559,Pl LC-43/3
 Molniya-M (Blok-ML),77011-691,
 Molniya-M (Blok-ML),76048-506,Pl LC-43/3
 Molniya-M (Blok-ML),78039-556,Pl LC-43/4
 Molniya-M (Blok-ML),78039-555,Pl LC-43/3
 Molniya-M (Blok-ML),77015-527,Pl LC-43/4
 Molniya-M (Blok-ML),77015-525,Pl LC-43/4
 Molniya-M (Blok-ML),77015-530,Pl LC-43/3
 Molniya-M (Blok-ML),77011-693,Pl LC-43/4
 Molniya-M (Blok-ML),77059-562,Pl LC-43/4
 Molniya-M (Blok-ML),77015-529,Pl LC-43/3
 Molniya-M (Blok-ML),77017-571,Pl LC-43/3
 Molniya-M (Blok-ML),77017-574,Pl LC-43/3
 Molniya-M (Blok-ML),77053-606,Pl LC-43/4
 Molniya-M (Blok-ML),76035-533,Pl LC-43/4
 Molniya-M (Blok-ML),76047-569,Pl LC-43/4
 Molniya-M (Blok-ML),76047-567,Pl LC-43/4
 Molniya-M (Blok-ML),78012-641,Pl LC-43/3
 Molniya-M (Blok-ML),78023-607,Pl LC-43/3
 Molniya-M (Blok-ML),78012-643,Pl LC-43/4
 Molniya-M (Blok-ML),76032-646,Pl LC-43/4
 Molniya-M (Blok-ML),77044-660,Pl LC-43/4
 Molniya-M (Blok-ML),76024-659,Pl LC-43/3
 Molniya-M (Blok-ML),78024-658,Pl LC-43/3
 Molniya-M (Blok-ML),77044-661,Pl LC-43/4
 Molniya-M (Blok-ML),77031-672,Pl LC-43/4
 Molniya-M (Blok-ML),77031-674,Pl LC-43/3
 Molniya-M (Blok-ML),77031-675,Pl LC-43/3
 Molniya-M (Blok-ML),78012-645,Pl LC-43/4
 Molniya-M (Blok-ML),78051-678,Pl LC-43/3
 Molniya-M (Blok-ML),77017-682,Pl LC-43/3
 Molniya-M (Blok-ML),Kh15000-030,Pl LC-43/3
 Molniya-M (Blok-ML),78051-677,Pl LC-43/3
 Molniya-M (Blok-ML),77045-686,Pl LC-43/4
 Molniya-M (Blok-ML),77013-687,Pl LC-43/3
 Molniya-M (Blok-ML),78029-684,Pl LC-16/2
 Molniya-M (Blok-ML),77082-689,Pl LC-16/2
 Molniya-M (Blok-ML),76092-690,Pl LC-16/2
 Molniya-M (Blok-ML),77046-694,Pl LC-16/2
 Delta-J,476/D-57,Va SLC-2E
 Delta-N,528/D-58,Va SLC-2E
 Delta-N,532/D-62,Va SLC-2E
 Delta-N,539/D-70,CC LC-17A
 Delta-N,548/D-72,CC LC-17A
 Delta-N,565/D-85,CC LC-17A
 Delta-N,573/D-88,Va SLC-2E
 Delta-M,536/D-63,CC LC-17A
 Delta-M,530/D-66,CC LC-17A
 Delta-M,533/D-68,CC LC-17A
 Delta-M,554/D-74,CC LC-17A
 Delta-M,557/D-75,CC LC-17A
 Delta-M,558/D-77,CC LC-17A
 Delta-M,559/D-78,CC LC-17A
 Delta-M,563/D-79,CC LC-17A
 Delta-M,561/D-80,CC LC-17A
 Delta-M,560/D-82,CC LC-17A
 Proton-K,236-01,Ba LC-81/24
 Proton-K,254-01,Ba LC-81/24
 Proton-K,260-01,Ba LC-81/23
 Proton-K,283-01,Ba LC-81/23
 Proton-K,284-01,Ba LC-81/23
 Proton-K,283-02,Ba LC-81/23
 Proton-K,284-01,Ba LC-81/24
 Proton-K,290-02,Ba LC-81/23
 Proton-K,289-02,Ba LC-81/24
 Proton-K,293-02,Ba LC-81/24
 Proton-K,293-01,Ba LC-81/24
 Proton-K,295-01,Ba LC-81/24
 Proton-K,292-01,
 Proton-K,300-02,Ba
 Proton-K,300-02,Ba LC-81/24
 Proton-K,299-02,Ba LC-200/39
 Proton-K,306-02,Ba LC-200/40
 Proton-K,309-02,Ba LC-200/39
 Proton-K,331-01,Ba LC-200/39
 Proton-K,337-01,Ba LC-200/39
 Proton-K,338-01,Ba LC-200/40
 Proton-K,336-02,Ba LC-200/39
 Proton-K,347-01,Ba LC-200/40
 Proton-K,354-01,Ba LC-200/39
 Proton-K,360-01,Ba LC-200/39
 Proton-K,365-01,Ba LC-200/40
 Proton-K,378-02,Ba LC-81/23
 Proton-K,385-01,Ba LC-81/23
 Proton-K,395-01,Ba LC-81/23
 Proton-K,398-01,Ba LC-81/23
Europa-1,F-7,Wo LC-6A
Europa-1,F-8,Wo LC-6A
Europa-1,F-9,Wo LC-6A
Thorad-SLV2H Agena-D,526,Va SLC-2E
Thorad-SLV2H Agena-D,545,Va SLC-3W
Thorad-SLV2H Agena-D,549,Va SLC-3W
Thorad-SLV2H Agena-D,551,Va SLC-3W
Thorad-SLV2H Agena-D,555,Va SLC-3W
Thorad-SLV2H Agena-D,556,Va SLC-3W
Thorad-SLV2H Agena-D,552,Va SLC-3W
Thorad-SLV2H Agena-D,537,Va SLC-3W
Thorad-SLV2H Agena-D,538,Va SLC-3W
Thorad-SLV2H Agena-D,550,Va SLC-1W
Thorad-SLV2H Agena-D,567,Va SLC-3W
Thorad-SLV2H Agena-D,569,Va SLC-3W
Thorad-SLV2H Agena-D,571,Va SLC-3W
Tsiklon-2,,Ba LC-90/20
Tsiklon-2,,Ba LC-90
 Delta-L,564/D-87,Va SLC-2E
 Delta-N6,542/D-76,Va SLC-2W
 Delta-N6,546/D-81,Va SLC-2W
 Diamant-B,,Ko ELD
 Molniya-M (Blok-MVL),Kh15000-062,Ba LC-31/6
 Molniya-M (Blok-MVL),S15000-063,Ba LC-31/6
 Titan-3(23)C,3C-20,CC LC-40
 Titan-3(23)C,3C-21,CC LC-40
 Titan-3(23)C,3C-22,CC LC-40
 Titan-3(23)C,3C-24,CC LC-40
 Titan-3(23)C,3C-26,CC LC-40
 Titan-3(23)C,3C-27,CC LC-40
 Titan-3(23)C,3C-29,CC LC-40
 Titan-3(23)C,3C-30,CC LC-40
 Titan-3(23)C,3C-28,CC LC-40
 Titan-3(23)C,3C-23,CC LC-40
 Titan-3(23)C,3C-32,CC LC-40
 Titan-3(23)C,3C-33,CC LC-40
 Titan-3(23)C,3C-36,CC LC-40
 Titan-3(23)C,3C-31,CC LC-40
 Titan-3(23)C,3C-34,CC LC-40
 Titan-3(23)C,3C-37,CC LC-40
 Titan-3(23)C,3C-40,CC LC-40
 Titan-3(23)C,3C-39,CC LC-40
 Titan-3(23)C,3C-38,CC LC-40
 Soyuz-L,Yu15000-016,Ba LC-31/6
 Soyuz-L,Yu15000-015,Ba LC-31/6
